iter	Passed	Remaining
445	1117	1388
446	1120	1385
447	1122	1383
448	1124	1380
449	1125	1376
450	1126	1371
451	1127	1367
452	1128	1362
453	1129	1358
454	1130	1353
455	1131	1349
456	1132	1345
457	1135	1344
458	1137	1341
459	1139	1337
460	1139	1332
461	1140	1328
462	1141	1324
463	1142	1319
464	1143	1315
465	1144	1311
466	1145	1306
467	1145	1302
468	1146	1298
469	1147	1293
470	1148	1290
471	1151	1287
472	1153	1284
473	1154	1280
474	1154	1276
475	1155	1272
476	1156	1268
477	1157	1264
478	1158	1259
479	1158	1255
480	1159	1251
481	1160	1247
482	1161	1243
483	1162	1239
484	1167	1239
485	1168	1235
486	1169	1231
487	1170	1227
488	1171	1223
489	1172	1219
490	1172	1215
491	1173	1211
492	1174	1207
493	1175	1203
494	1175	1199
495	1176	1195
496	1177	1191
497	1179	1189
498	1181	1186
499	1183	1183
500	1184	1179
501	1185	1175
502	1186	1172
503	1186	1168
504	1187	1164
505	1188	1160
506	1189	1156
507	1190	1152
508	1190	1148
509	1191	1145
510	1192	1141
511	1194	1138
512	1197	1136
513	1199	1134
514	1200	1130
515	1201	1127
516	1202	1123
517	1203	1120
518	1204	1116
519	1205	1112
520	1206	1108
521	1207	1105
522	1208	1102
523	1210	1099
524	1212	1096
525	1213	1093
526	1213	1089
527	1214	1085
528	1215	1082
529	1216	1078
530	1217	1074
531	1217	1071
532	1218	1067
533	1219	1064
534	1220	1060
535	1221	1057
536	1222	1053
537	1224	1051
538	1225	1048
539	1227	1045
540	1228	1042
541	1229	1038
542	1229	1035
543	1230	1031
544	1231	1028
545	1232	1024
546	1233	1021
547	1234	1017
548	1234	1014
549	1235	1010
550	1236	1007
551	1238	1004
552	1239	1001
553	1240	998
554	1242	995
555	1243	992
556	1243	989
557	1244	986
558	1245	982
559	1246	979
560	1246	975
561	1247	972
562	1248	969
563	1249	965
564	1250	962
565	1250	959
566	1253	957
567	1254	954
568	1256	951
569	1257	948
570	1258	945
571	1259	942
572	1260	939
573	1261	936
574	1261	932
575	1262	929
576	1263	926
577	1264	923
578	1265	919
579	1266	916
580	1267	913
581	1269	911
582	1271	909
583	1272	906
584	1273	903
585	1273	899
586	1274	896
587	1275	893
588	1276	890
589	1276	887
590	1277	884
591	1278	881
592	1279	878
593	1280	875
594	1281	872
595	1283	870
596	1285	867
597	1287	865
598	1287	862
599	1288	859
600	1289	855
601	1290	852
602	1290	849
603	1291	846
604	1292	843
605	1293	840
606	1293	837
607	1294	834
608	1295	831
609	1296	829
610	1298	826
611	1300	824
612	1301	821
613	1302	818
614	1303	815
615	1303	812
616	1304	809
617	1305	806
618	1306	804
619	1307	801
620	1307	798
621	1308	795
622	1309	792
623	1310	789
624	1312	787
625	1314	785
626	1316	783
627	1317	780
628	1317	777
629	1318	774
630	1319	771
631	1320	768
632	1320	765
633	1321	763
634	1322	760
635	1323	757
636	1324	754
637	1324	751
638	1325	748
639	1327	746
640	1328	744
641	1330	741
642	1331	739
643	1332	736
644	1333	734
645	1334	731
646	1335	728
647	1336	726
648	1337	723
649	1338	720
650	1339	717
651	1340	715
652	1343	714
653	1345	711
654	1346	709
655	1347	706
656	1348	703
657	1348	701
658	1349	698
659	1350	695
660	1351	692
661	1351	690
662	1352	687
663	1353	684
664	1355	682
665	1357	680
666	1359	678
667	1360	676
668	1361	673
669	1362	671
670	1363	668
671	1363	665
672	1364	663
673	1365	660
674	1366	657
675	1367	655
676	1368	652
677	1369	650
678	1372	648
679	1374	647
680	1375	644
681	1376	641
682	1377	639
683	1378	636
684	1378	634
685	1379	631
686	1380	628
687	1381	626
688	1382	623
689	1383	621
690	1383	618
691	1385	616
692	1386	614
693	1388	612
694	1389	609
695	1390	607
696	1391	604
697	1392	602
698	1393	599
699	1394	597
700	1394	594
701	1395	592
702	1396	590
703	1397	587
704	1398	585
705	1400	583
706	1402	581
707	1404	579
708	1405	577
709	1406	574
710	1407	572
711	1408	569
712	1409	567
713	1410	565
714	1411	562
715	1412	560
716	1413	557
717	1415	555
718	1416	553
719	1418	551
720	1419	549
721	1420	546
722	1421	544
723	1421	542
724	1422	539
725	1423	537
726	1424	534
727	1425	532
728	1426	530
729	1426	527
730	1427	525
731	1428	522
732	1432	521
733	1433	519
734	1434	517
735	1435	514
736	1436	512
737	1436	510
738	1437	507
739	1438	505
740	1439	503
741	1439	500
742	1440	498
743	1441	495
744	1442	493
745	1443	491
746	1445	489
747	1447	487
748	1448	485
749	1448	482
750	1450	480
751	1450	478
752	1451	476
753	1452	473
754	1453	471
755	1453	469
756	1454	466
757	1455	464
758	1455	462
759	1456	460
760	1457	457
761	1458	455
762	1460	453
763	1461	451
764	1462	449
765	1463	447
766	1463	444
767	1464	442
768	1465	440
769	1466	438
770	1467	435
771	1468	433
772	1469	431
773	1469	429
774	1470	427
775	1471	424
776	1472	422
777	1473	420
778	1473	418
779	1475	416
780	1476	414
781	1477	412
782	1479	409
783	1479	407
784	1480	405
785	1481	403
786	1482	401
787	1483	399
788	1484	396
789	1484	394
790	1485	392
791	1486	390
792	1487	388
793	1488	386
794	1488	383
795	1490	382
796	1492	380
797	1493	378
798	1494	375
799	1495	373
800	1495	371
801	1496	369
802	1497	367
803	1498	365
804	1499	363
805	1500	361
806	1500	358
807	1501	356
808	1502	354
809	1503	352
810	1503	350
811	1505	348
812	1507	346
813	1508	344
814	1509	342
815	1510	340
816	1511	338
817	1512	336
818	1513	334
819	1514	332
820	1514	330
821	1515	328
822	1516	326
823	1516	323
824	1517	321
825	1518	319
826	1519	317
827	1522	316
828	1523	314
829	1524	312
830	1525	310
831	1526	308
832	1527	306
833	1528	304
834	1528	302
835	1529	300
836	1530	298
837	1531	295
838	1531	293
839	1532	291
840	1533	289
841	1534	287
842	1536	286
843	1538	284
844	1539	282
845	1540	280
846	1541	278
847	1541	276
848	1542	274
849	1543	272
850	1544	270
851	1545	268
852	1546	266
853	1546	264
854	1547	262
855	1548	260
856	1558	260
857	1559	258
858	1560	256
859	1560	254
860	1561	252
861	1562	250
862	1563	248
863	1563	246
864	1564	244
865	1566	242
866	1568	240
867	1570	238
868	1571	236
869	1572	235
870	1574	233
871	1575	231
872	1577	229
873	1577	227
874	1578	225
875	1579	223
876	1580	221
877	1583	220
878	1585	218
879	1586	216
880	1587	214
881	1588	212
882	1589	210
883	1589	208
884	1590	206
885	1591	204
886	1592	202
